StressDVtot	StressDVm	StressDVexternal	StressDVFax	StressAPtot	StressAPm	StressAPexternal	StressAPFax	
1.669606e+06	0.000000e+00	1.611967e+06	5.763849e+04	-2.338253e+05	5.641830e+04	-2.893896e+05	-8.540165e+02	
1.601007e+06	0.000000e+00	1.546785e+06	5.422230e+04	-2.167956e+05	5.310324e+04	-2.690954e+05	-8.033997e+02	
1.544949e+06	0.000000e+00	1.494478e+06	5.047175e+04	-2.089226e+05	5.250574e+04	-2.606805e+05	-7.478285e+02	
1.507214e+06	0.000000e+00	1.460672e+06	4.654218e+04	-2.063527e+05	5.362780e+04	-2.592909e+05	-6.896051e+02	
1.495402e+06	0.000000e+00	1.452754e+06	4.264747e+04	-2.055889e+05	5.535532e+04	-2.603123e+05	-6.318980e+02	
1.520729e+06	0.000000e+00	1.481893e+06	3.883588e+04	-2.011624e+05	6.141145e+04	-2.619985e+05	-5.754226e+02	
1.591340e+06	0.000000e+00	1.556129e+06	3.521078e+04	-2.023733e+05	6.363224e+04	-2.654838e+05	-5.217102e+02	
1.706214e+06	0.000000e+00	1.674223e+06	3.199155e+04	-2.064884e+05	6.708081e+04	-2.730952e+05	-4.740116e+02	
1.857617e+06	0.000000e+00	1.828143e+06	2.947367e+04	-2.171461e+05	7.330629e+04	-2.900157e+05	-4.367048e+02	
2.027756e+06	0.000000e+00	1.999870e+06	2.788615e+04	-2.387281e+05	8.428044e+04	-3.225953e+05	-4.131829e+02	
