StressAxial	StressAP	StressDV	NetBendFemMag	NetBendFemAng	PeakTensStress	PeakCompStress	FemShear	
-3.154367e+05	2.959699e+06	-1.264358e+06	3.218450e+06	-2.313177e+01	2.903013e+06	-3.533886e+06	-2.494868e+06	
-3.638290e+05	2.984570e+06	-1.411161e+06	3.301369e+06	-2.530567e+01	2.937540e+06	-3.665198e+06	-2.536940e+06	
-4.200556e+05	2.980539e+06	-1.568976e+06	3.368279e+06	-2.776263e+01	2.948223e+06	-3.788334e+06	-2.563828e+06	
-4.820143e+05	2.951581e+06	-1.729047e+06	3.420736e+06	-3.036193e+01	2.938722e+06	-3.902750e+06	-2.578837e+06	
-5.487963e+05	2.904021e+06	-1.892116e+06	3.466041e+06	-3.308629e+01	2.917245e+06	-4.014837e+06	-2.588204e+06	
-6.198428e+05	2.847363e+06	-2.063093e+06	3.516224e+06	-3.592569e+01	2.896381e+06	-4.136066e+06	-2.599733e+06	
-6.945495e+05	2.788798e+06	-2.249097e+06	3.582713e+06	-3.888533e+01	2.888164e+06	-4.277263e+06	-2.616364e+06	
-7.725636e+05	2.730996e+06	-2.453568e+06	3.671285e+06	-4.193702e+01	2.898722e+06	-4.443849e+06	-2.636775e+06	
-8.536294e+05	2.669788e+06	-2.678070e+06	3.781512e+06	-4.508875e+01	2.927882e+06	-4.635141e+06	-2.655828e+06	
-9.364911e+05	2.600358e+06	-2.918716e+06	3.909062e+06	-4.830136e+01	2.972571e+06	-4.845553e+06	-2.669130e+06	
-1.017995e+06	2.529304e+06	-3.163485e+06	4.050311e+06	-5.135661e+01	3.032316e+06	-5.068305e+06	-2.679945e+06	
-1.094368e+06	2.465199e+06	-3.397399e+06	4.197562e+06	-5.403487e+01	3.103194e+06	-5.291930e+06	-2.692039e+06	
-1.163711e+06	2.417987e+06	-3.613263e+06	4.347681e+06	-5.620968e+01	3.183970e+06	-5.511392e+06	-2.709735e+06	
-1.227663e+06	2.392476e+06	-3.821918e+06	4.508991e+06	-5.795394e+01	3.281328e+06	-5.736655e+06	-2.732392e+06	
-1.289266e+06	2.392775e+06	-4.039732e+06	4.695190e+06	-5.936133e+01	3.405923e+06	-5.984456e+06	-2.759267e+06	
-1.350531e+06	2.421966e+06	-4.275332e+06	4.913694e+06	-6.046857e+01	3.563162e+06	-6.264225e+06	-2.791512e+06	
