File.name,Appendage,Species,Calib.File,Pixels.Per.mm,Group,5fPriorStart.x,5fPriorStart.y,5fPriorEnd.x,5fPriorEnd.y,CycleStart.x,CycleStart.y,CycleEnd.X,CycleEnd.y,5fPostStart.x,5fPostStart.y,5fPostEnd.x,5fPostEnd.y,PriorDistance.pixels,StanceDistance.pixels,PostDistance.pixels,PriorDuration.s,StanceDuration.frames,StanceDuration.s,PostDuration.s,PriorSpeed.cm.s,StanceSpeed.cm.s,PostSpeed.cm.s
af01f51,Pel,af,cal11,3.304272727,HL,162.333,253.333,167,258,181,256.667,366.667,260.333,370.667,260.333,382,260,6.600134696,185.7031891,11.33789125,0.05,62,0.62,0.05,3.994909162,9.064665585,6.862563829
af01f52,Pel,af,cal11,3.304272727,HL,118,247.333,142.667,248,147.333,250.667,326,248,332,248,360.667,248.667,24.67601625,178.6869043,28.67475855,0.05,42,0.42,0.05,14.93582297,12.87560215,17.35616937
af01f53,Pel,af,cal11,3.304272727,HL,138,252,155.333,254,160,255.333,356,255,360,255.667,379.333,254.333,17.4480053,196.0002829,19.37896914,0.05,51,0.51,0.05,10.56087481,11.63082808,11.72964264
af01f56,Pel,af,cal11,3.304272727,HL,134.667,249.333,147.333,254,151.333,254,348,255.667,352,256.333,370.667,253.667,13.49846084,196.6740648,18.85641655,0.05,60,0.6,0.05,8.170306722,9.920189255,11.41335362
af01f58,Pel,af,cal11,3.304272727,HL,133,257,140,258,142,257,317,253,318,253,321,256,7.071067812,175.0457083,4.242640687,0.05,100,1,0.05,4.279954105,5.297556309,2.567972463
af01f65,Pec,af,cal21,6.426022727,FL,297,440,331,438,334,439,673,441,675,441,691,439,34.05877273,339.0058997,16.1245155,0.05,58,0.58,0.05,10.60026526,9.095718382,5.018505592
af01f68,Pec,af,cal21,6.426022727,FL,311,438,349,438,355,438,679,443,686,443,707,441,38,324.038578,21.09502311,0.05,63,0.63,0.05,11.82691117,8.004125895,6.565499067
af04f34,Pel,af,cal05,3.394477273,HL,182,252.5,199.5,254.5,202,255,389,251,392.5,251.5,403,253.5,17.61391495,187.0427759,10.68877916,0.05,83,0.83,0.05,10.37798373,6.638805445,6.297746784
af04f37,Pel,af,cal05,3.394477273,HL,128.5,249,148,252,152,254,353,248,357.5,248,378,249,19.72941966,201.0895323,20.52437575,0.05,53,0.53,0.05,11.62442289,11.17739733,12.09280493
af04f47,Pec,af,cal08,3.409090909,FL,102.5,232.5,125,242.5,131.5,245.5,291,259,298.5,258,326,255,24.6221445,160.0702971,27.66315239,0.05,41,0.41,0.05,14.44499144,11.45218385,16.2290494
af04f62,Pel,af,cal10,3.39425,HL,120,250.5,152.5,248.5,160,249,343,248,347,248,364,249,32.56148031,183.0027322,17.02938637,0.05,54,0.54,0.05,19.1862593,9.98435438,10.03425579
af04f63,Pec,af,cal10,3.39425,FL,152,251.5,165.5,255.5,169,256,307.5,260,310,259,329,256.5,14.08012784,138.5577497,19.1637679,0.05,43,0.43,0.05,8.296458917,9.493329156,11.29190124
af04f64,Pec,af,cal10,3.39425,FL,102,245.667,124.667,247.667,128.667,249,286.333,263.333,291,263.333,305,262.667,22.75506293,158.3161471,14.01583233,0.05,40,0.4,0.05,13.40800644,11.66061333,8.258573961
af04f69,Pel,af,cal10,3.39425,HL,209,252,225.667,249.667,231,249,414,248,418,249,435,251,16.82949132,183.0027322,17.11724277,0.05,76,0.76,0.05,9.916471278,7.094146533,10.08602358
af04f74,Pel,af,cal11,3.304272727,HL,154,249,170,249,173,249,353,246.667,355,247.333,368,247,16,180.0151185,13.00426426,0.05,67,0.67,0.05,9.684430627,8.131268316,7.871180944
af04f76,Pec,af,cal11,3.304272727,FL,144,251,161,252,164,252,323,258,328,259,352,260,17.02938637,159.1131673,24.0208243,0.05,49,0.49,0.05,10.30749443,9.827298663,14.53925041
af04f79,Pec,af,cal11,3.304272727,FL,115,247,136.667,251,143,253,291,258.667,297,259,322,258,22.03313162,148.1084565,25.01999201,0.05,45,0.45,0.05,13.33614592,9.960736613,15.14402355
af04f83,Pec,af,cal11,3.304272727,FL,132,256,152,256.667,155.333,256.667,313,259,317,259.667,339,257,20.01111913,157.6842598,22.16106696,0.05,51,0.51,0.05,12.11226844,9.357121781,13.41358223
af04f85,Pec,af,cal12,3.333636364,FL,125.333,258.333,148,265.667,153.333,267.667,302,257,308,257,331,255,23.82394688,149.0491925,23.08679276,0.05,47,0.47,0.05,14.29306876,9.512913433,13.85081649
af04f86,Pel,af,cal12,3.333636364,HL,207,246,215,247.333,218,247,384.667,246,387,247,394,246.667,8.110295247,166.67,7.007916167,0.05,93,0.93,0.05,4.865734809,5.375962888,4.204367485
af04f87,Pel,af,cal12,3.333636364,HL,200.667,248.667,209,249,211.333,248.667,394,248,398,249,404,248.333,8.339650952,182.6682178,6.036960245,0.05,98,0.98,0.05,5.003335722,5.59137591,3.621846888
af04f89,Pec,af,cal12,3.333636364,FL,106.667,257.333,133.333,255.667,135.333,256.333,320.667,262.333,325.333,262.333,347,262,26.71799229,185.4310965,21.66955879,0.05,44,0.44,0.05,16.02933816,12.64188005,13.0005534
af04f92,Pel,af,cal12,3.333636364,HL,216,252,230,251,232,251,420,249,424,249,439,251,14.03566885,188.010638,15.13274595,0.05,61,0.61,0.05,8.420635796,9.245584312,9.078822223
af04f95,Pel,af,cal12,3.333636364,HL,171,250,183,250,186,250,370,249.667,369.333,250,372,251,12,184.0003013,2.848313361,0.05,86,0.86,0.05,7.199345514,6.418031705,1.708832668
af04f96,Pec,af,cal12,3.333636364,FL,111.333,258.333,138.667,263.667,143.333,265.667,313,262,317.333,263,342,262,27.8495801,169.7066227,24.68726167,0.05,55,0.55,0.05,16.70822913,9.255883429,14.81101055
af04f98,Pec,af,cal12,3.333636364,FL,110.667,258.333,127,260,130,261,297,264,300,264,319.333,263.333,16.41784937,167.0269439,19.34450253,0.05,58,0.58,0.05,9.849814186,8.638539364,11.60564646
af04f99,Pel,af,cal12,3.333636364,HL,154,248,172.667,248.667,178,250,367,250,370,251,377,252,18.67891266,189,7.071067812,0.05,62,0.62,0.05,11.20632884,9.144329988,4.242255028
af05f29,Pec,af,cal05,3.394477273,FL,89,262,106,260,110,260,305,265.333,308,265,316.333,265.333,17.11724277,195.0729117,8.339650952,0.05,88,0.88,0.05,10.08534828,6.530424142,4.913658441
af05f32,Pel,af,cal05,3.394477273,HL,126,251.333,141.333,254,144,254,358,252.333,362.667,252.333,375.333,252.333,15.56321875,214.0064926,12.666,0.05,77,0.77,0.05,9.169729242,8.187726344,7.462710151
af05f40,Pel,af,cal07,3.379090909,HL,140,250,167.333,250.667,174,251.333,368.667,248,372,249.333,391.333,252.667,27.3411371,194.695531,19.61837009,0.05,54,0.54,0.05,16.18254012,10.66994909,11.6116261
af05f44,Pec,af,cal07,3.379090909,FL,108,263,120.667,265,124,266,297,268,300,267,314.667,263.333,12.82391863,173.0115603,15.11845819,0.05,52,0.52,0.05,7.590158995,9.846273687,8.948239982
af05f46,Pel,af,cal07,3.379090909,HL,116,249,155.333,250.667,223.333,218,337,250,341,252,361,253,39.36830931,118.0855067,20.02498439,0.05,53,0.53,0.05,23.30112469,6.593573502,11.85229101
af05f51,Pel,af,cal07,3.379090909,HL,131.333,251.667,162,251,168,251,368,252.667,372,254,390,252.667,30.67425269,200.0069471,18.04929054,0.05,50,0.5,0.05,18.15532847,11.83791454,10.68292687
af05f55,Pec,af,cal08,3.409090909,FL,170,258,192,259.333,196,260,368,263,373,263,394.667,259.667,22.04034684,172.0261608,21.92185617,0.05,36,0.36,0.05,12.93033682,14.01694644,12.86082229
af05f55,Pel,af,cal08,3.409090909,HL,138.667,248.333,170.667,249,176.667,249,367,248,371.333,249.333,392,248,32.00695064,190.335627,20.70994394,0.05,52,0.52,0.05,18.77741104,10.73688152,12.14983378
af05f58,Pel,af,cal08,3.409090909,HL,151,254,181,253,189.333,254,387.333,246.667,392.667,246.667,418,246.667,30.01666204,198.1357436,25.333,0.05,44,0.44,0.05,17.60977506,13.20904957,14.86202667
af05f59,Pec,af,cal08,3.409090909,FL,102.667,256.333,113,256,116.667,258.333,295,264.333,299,263,316.667,259.667,10.33836438,178.4339062,17.97864784,0.05,54,0.54,0.05,6.065173768,9.692706017,10.5474734
af05f60,Pel,af,cal08,3.409090909,HL,191,247,205,247.667,208.333,248.333,390,247,394.667,248,406.667,250.667,14.01587989,181.6718904,12.29279826,0.05,57,0.57,0.05,8.222649534,9.349196701,7.211774978
af05f61,Pec,af,cal08,3.409090909,FL,105.333,264.333,114,266,118,266,280,263,282,263,290,263,8.825858485,162.0277754,8,0.05,104,1.04,0.05,5.177836978,4.570014178,4.693333333
af05f62,Pec,af,cal08,3.409090909,FL,140,257,158,266.333,162,267,344,259.333,350,259,367.333,254.667,20.27572166,182.1614199,17.86638682,0.05,44,0.44,0.05,11.89509004,12.14409466,10.4816136
af05f64,Pec,af,cal08,3.409090909,FL,152.667,259.667,173.333,261,178,263,374,261,381,261,402,256,20.70894601,196.0102038,21.58703314,0.05,48,0.48,0.05,12.14924833,11.97840134,12.66439278
af05f65,Pec,af,cal11,3.304272727,FL,88,254,116.667,256.667,122,258,324.667,263.333,328.667,264,350.667,263.333,28.79079329,202.7371544,22.01010879,0.05,45,0.45,0.05,17.42640252,13.63467991,13.32221073
af05f67,Pec,af,cal11,3.304272727,FL,98,257,123,263,128,265,317.333,268.333,323.333,267,338,258,25.70992026,189.3623346,17.20816344,0.05,43,0.43,0.05,15.5616212,13.32751739,10.41570407
af05f69,Pel,af,cal11,3.304272727,HL,132,246,148,246,127,247,323,248,174,248,191,250.333,16,196.002551,17.15933824,0.05,76,0.76,0.05,9.684430627,7.804988108,10.3861513
af05f71,Pec,af,cal11,3.304272727,FL,158,256.333,180,262.333,185.333,263,366.667,264,371.333,264,390.667,262,22.8035085,181.3367573,19.43716944,0.05,44,0.44,0.05,13.80243726,12.47260828,11.76486994
af05f71,Pel,af,cal11,3.304272727,HL,139,249,166,247,172.667,248.667,386.667,252,391.333,254.667,406.667,254,27.07397274,214.0259538,15.34849976,0.05,54,0.54,0.05,16.38725068,11.99490452,9.290092574
af05f72,Pel,af,cal12,3.333636364,HL,189,255,202,252,205,251,372,247,376,247,381.333,248.667,13.34166406,167.0478973,5.587466152,0.05,81,0.81,0.05,8.004270777,6.18639676,3.352174948
af06f08,Pec,af,cal16,6.367181818,FL,247,515,279,517,288,519,615.667,524.333,625,525,664,524,32.06243908,327.7103962,39.01281841,0.05,58,0.58,0.05,10.0711555,8.873909064,12.25434408
af06f09,Pec,af,cal16,6.367181818,FL,372.333,514.333,394,515,402,515,727.667,519,740,523,790.333,528.333,21.67726408,325.691564,50.61473874,0.05,51,0.51,0.05,6.809060806,10.02972631,15.89863151
af06f12,Pec,af,cal17,6.365431818,FL,256,480.333,280,479,284,479,590.667,476.333,600,477.667,653,481,24.03699002,306.6785969,53.10469743,0.05,41,0.41,0.05,7.552351734,11.7509165,16.68534011
af06f15,Pel,af,cal17,6.365431818,HL,400,462.333,429.333,462.333,434,464,803.667,461,807.667,462.333,815,463,29.333,369.6791729,7.363272235,0.05,60,0.6,0.05,9.216342532,9.679342619,2.313518531
af06f19,Pec,af,cal17,6.365431818,FL,281,476.333,291,474,290.333,472.333,624,478,633,478,675.667,479,10.2685388,333.7151207,42.67871705,0.05,55,0.55,0.05,3.22634476,9.53202834,13.40952767
af06f21,Pec,af,cal17,6.365431818,FL,370.333,479.667,386.333,477,388,475,701,475.667,713,479.667,754.333,478.333,16.22075488,313.0007107,41.35452146,0.05,48,0.48,0.05,5.09651359,10.24415676,12.9934693
af06f28,Pec,af,cal18,6.455681818,FL,248,477,269,477,273.333,478.333,648,479,661,480,715.667,479.667,21,374.6675937,54.66801421,0.05,56,0.56,0.05,6.505896849,10.36372754,16.93640292
af06f30,Pec,af,cal18,6.455681818,FL,231,478,260,480,269.333,480.333,601,472,613.333,476.333,664,480.333,29.06888371,331.7716651,50.82464844,0.05,55,0.55,0.05,9.005674234,9.344035631,15.74571048
af06f33,Pec,af,cal18,6.455681818,FL,324,479,342.333,479.667,347.667,478.333,711.667,475,723.667,476.333,795,480,18.34512954,364.0152591,71.42719215,0.05,49,0.49,0.05,5.683405738,11.50751082,22.12847354
af06f34,Pec,af,cal19,6.424522727,FL,279,447,292.333,443,299,443,636.333,445.667,646,446,685.667,445.667,13.9200894,337.3435427,39.66839772,0.05,52,0.52,0.05,4.333423663,10.09783309,12.3490567
af06f40,Pec,af,cal19,6.424522727,FL,309,444.333,338.333,447,342.333,447,675,441,685,443,738.333,448.333,29.45399426,332.7211038,53.5989718,0.05,53,0.53,0.05,9.16923965,9.771553376,16.68574432
af06f41,Pel,af,cal19,6.424522727,HL,417,434.333,440,434,445,434.333,857,435,865,435.667,891,433,23.0024105,412.0005399,26.13642839,0.05,65,0.65,0.05,7.160815357,9.866055603,8.136457602
