"ToeTip_X"	"ToeTip_Y"	"KneeElbow_X"	"KneeElbow_Y"	"HipShoulder_X"	"HipShoulder_Y"	"AnkleWrist_X"	"AnkleWrist_Y"	"MetaPhalJoint_X"	"MetaPhalJoint_Y"	"Costal1_X"	"Costal1_Y"	"Costal2_X"	"Costal2_Y"
457.955776116812	458.457002125519	384.119083791072	519.869525024147	417.04126502302	596.495720918566	376.954345951509	511.783317252394	398.204530295226	487.858135001663	417.635781341277	628.211441930155	367.083839818422	624.803874530644
457.621052402319	458.477036279928	385.388017602937	520.045398009851	418.993327601673	596.406008451328	377.984537985002	512.04308975777	398.288770900538	487.889725670534	419.58615074785	628.164559105068	368.823697219315	624.809664535241
457.291404295092	458.498361095099	386.643967164978	520.239963689834	420.941986593844	596.341733649651	379.015033573397	512.304029606838	398.376509197891	487.937469070338	421.5158341888	628.13614537593	370.559446603291	624.8387212444
456.970709252121	458.51970626589	387.885760718047	520.464703248307	422.892815279357	596.312552571609	380.034115471488	512.580744777602	398.471783733111	488.004938492243	423.429269109109	628.135274552647	372.291876531028	624.897153369212
456.662582878139	458.539792463161	389.112137141626	520.730779087691	424.851403990894	596.327726591041	381.030623830235	512.88798941348	398.5789099837	488.095683722919	425.331175150988	628.171016821636	374.022200236125	624.990934613076
456.368224456295	458.557718978939	390.321790103169	521.045060940338	426.821120635115	596.391904538018	381.999597890384	513.239475882638	398.704945707242	488.213976781639	427.227007563449	628.250402984357	375.755367164969	625.123621501554
456.086828284761	458.572899272765	391.513375754658	521.410856620732	428.803489021923	596.505907903961	382.941220695551	513.648052122063	398.859224116048	488.364688972773	429.122831978082	628.378771627028	377.49942695167	625.296764864737
455.817501570145	458.584811245556	392.686130582293	521.830872903986	430.799890705385	596.670040390251	383.857005821989	514.125893407163	399.051080911541	488.55248874849	431.024619701276	628.560858849383	379.262338380268	625.511467356465
455.559092140366	458.593472448433	393.84500343129	522.302971137797	432.810858084799	596.880657038652	384.760008420727	514.67882383605	399.289199611621	488.779873535597	432.937233883352	628.79598512647	381.050245841848	625.765025167166
455.310300602702	458.59920673235	394.998185422308	522.822262455771	434.836441588067	597.131871672891	385.669834520332	515.309062644809	399.581893561615	489.048108509532	434.864908696793	629.080397081219	382.868263896964	626.052573978317
455.070264032563	458.602366563924	396.155252684607	523.383531535324	436.876735491403	597.41731917099	386.606989284244	516.017739744594	399.936686643884	489.357915993954	436.811719526945	629.409615347019	384.721138612159	626.369547273395
454.840823507541	458.603459309484	397.334098986897	523.979743201024	438.932138811267	597.727837446574	387.597062687439	516.799517841663	400.35625695119	489.706755496982	438.780806388872	629.77489798984	386.611414913881	626.713369394893
454.624850587684	458.603051366908	398.555787910973	524.603168740115	441.003166699184	598.053198503354	388.667582502546	517.646595021052	400.841435868782	490.090843083155	440.77495283244	630.165878631354	388.54079888449	627.082223392264
454.425470208307	458.601677646216	399.840300069948	525.246036854055	443.090265336254	598.383270394795	389.843587630714	518.549841788711	401.391943360128	490.505485839749	442.796839504222	630.572135348756	390.510018342009	627.474186845596
454.246812691761	458.599746641184	401.203259243066	525.900411362073	445.193604107421	598.708313766352	391.140146228948	519.494837740712	402.003068242559	490.942364735881	444.84873824442	630.98303683222	392.515894652193	627.88690948343
454.093257112783	458.597635110229	402.659193785197	526.558315049435	447.313282075791	599.018690454967	392.569825662284	520.465838444747	402.668995801212	491.39225370732	446.932815033558	631.387901696651	394.554271882443	628.317928886029
453.967864602736	458.595653112669	404.219474371346	527.211865493767	449.448827921952	599.306308387398	394.141075481926	521.446438606321	403.386072524817	491.845670756617	449.049377544186	631.777202469111	396.620645976122	628.762148451884
453.870237988824	458.593935688336	405.887185874822	527.853429009321	451.598273633775	599.567132454436	395.851540030738	522.418498818156	404.156315934361	492.292462313526	451.193857219467	632.144439560347	398.709599393645	629.207559445048
453.799406094415	458.592588910742	407.66402912239	528.475415765204	453.759403858243	599.797799033185	397.69707306646	523.363624019454	404.982690005142	492.722373565027	453.360890531027	632.483623871795	400.815596690066	629.641038521763
453.753211234092	458.591666049363	409.548097006368	529.070545175756	455.929583644855	599.996172422347	399.670069166038	524.265627158278	405.87055616152	493.125810038143	455.544693586282	632.790495812271	402.93572626698	630.049936122299
453.727405288025	458.591127341602	411.531125828686	529.632081494834	458.105438780977	600.162280317639	401.756828395635	525.112211333162	406.82949974098	493.494340671051	457.738741879661	633.063842899715	405.071699314436	630.422437416895
453.717534912497	458.59092314771	413.604144639207	530.153413090169	460.283563531186	600.296383229128	403.942996294174	525.891638638175	407.86941564235	493.819752664097	459.936522384922	633.302817321858	407.225737632318	630.74692441591
453.719396676751	458.590990372855	415.756193493092	530.630196448371	462.461996798256	600.399157895654	406.213089932791	526.597556573185	408.996221196334	494.09713152869	462.134391919148	633.508371781276	409.401386124803	631.01547503849
453.72908833438	458.591249706718	417.973915394702	531.060821495278	464.64051850072	600.47178267706	408.550266401821	527.230102897283	410.211040139767	494.325537758741	464.332165911059	633.683628883517	411.603784244398	631.224621353946
453.74279223958	458.591621761642	420.243905058538	531.443943528512	466.819175666248	600.515515967958	410.937566960583	527.789904602996	411.514255747673	494.504506563327	466.530052667614	633.83178280688	413.837937355129	631.371464867989
